,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,64,1.21251089095254,-0.0990542956039435,-1.19209409463426,0.286323561509755,2.16051625183209,3.61631350966622,-0.40420689806665006,0.8423309516479929,0.16936042074252602,-0.0305221765721243,-0.541957258023106,0.23721201486661603,-0.21812964870327398,0.19743652097133801,-0.14785024592101903,-0.0978301417256899,-0.51005250120389,-0.0709392806421485,0.355170583653159,0.0147774396345371,-0.16749633651695098,-0.49469456984807497,-0.149785450968464,1.01122655467101,0.883547704730387,-0.32943381059207505,0.020370145679431,0.0170370863505012,34.7,0
1,64,-0.658304934095684,0.40679056737153,2.03746063876455,-0.291297974417195,0.147909808593845,-0.350857291958021,0.9453732131353609,-0.17256001673397797,0.0251333984849018,-0.7781347237336619,-0.196289801937262,0.6329552618263729,0.37402517156701093,-0.531597207426503,-0.6150625651006241,-0.518078459185166,0.0038808953194806295,-1.2889540744158,-0.797804485217222,0.0641328738661188,-0.156095760618683,-0.238804964891445,0.0898771773985113,0.421195367129561,-0.35248713422790706,0.0747827424634443,-0.0941921697507859,-0.0924931304008813,54.99,0
2,124,1.10525345275619,0.5418420017294371,0.8394214149012551,2.57093270635808,-0.27951736653807396,-0.423062111097698,0.0880191903384811,0.0116217911816382,-0.7157564448726921,0.65137861927038,0.0737870164072209,-0.14202383887205702,-0.739457467029513,0.5026389486234001,0.7366884255325592,0.256745260866237,-0.0937320992128493,-1.0114155943833298,-1.46549983564006,-0.23988255069519698,-0.137434187391129,-0.460990832079693,0.189397329459604,0.556329106501834,0.185785849993681,-0.18902950095991802,0.000207990322529455,0.0261670472578191,6.24,0
3,128,1.2394948082223702,-0.18260924790656102,0.15505829567108498,-0.9288921435652719,-0.746226570194207,-1.23560825972195,-0.0616946788968651,-0.125223462486931,0.9849378444927909,-0.7466245179966658,1.5634589706976798,0.890131708909049,-0.9851587906855591,0.7787342837391709,1.01697435758885,-0.429489928950288,-0.33578703405309496,0.6146900881387621,0.703133095890784,-0.160405632354295,0.14607712525321803,0.48111850850565097,-0.14001935782772698,0.538260609884007,0.710720105945621,-0.6213817663443549,0.0368668087203768,0.0109633193892522,8.8,0
4,132,-1.5713593111866297,1.68750802712553,0.7346704378580681,1.29334959714667,-0.21753166347077998,-0.00267746796392636,0.147364180877205,0.515361979346643,-0.372441612815001,0.078020678219396,-0.5924949074398629,0.99794100956986,1.10932838560526,0.0600476234099728,0.0861407955897413,-1.14989267358928,0.76519825435519,-0.810588623188627,0.7375504356841021,-0.0936135323992745,0.0485493139851947,0.377255527434062,-0.0304355119893346,0.117608127652655,-0.0605200767063873,-0.296549879661509,-0.4815702969438379,-0.167897497050231,10.0,0
5,156,1.32529522842754,-1.13867806622782,1.2762656356343,-0.207920237677185,-1.6420878643963601,0.696572808765306,-1.50295490821217,0.297739613423267,0.872380951893234,0.251926471501964,-2.33201137167952,0.0475168887603448,-0.0339143464617889,-1.2663171560521398,-1.60519213139101,-1.74371227950481,0.48265498366689297,0.9976537084735351,0.22174418939836302,-0.49839665843119396,-0.606347646499797,-0.803193010722508,-0.0266178417797112,-0.397272515238105,0.24569939741558203,1.12740554418272,0.0230114319375673,0.0122644747436354,10.0,0
6,228,1.10576757085675,0.33301198094144396,0.18414809894714101,1.27694823798754,-0.0781184349862276,-0.810948602619565,0.45932983001884603,-0.17055249169601,-0.290556781754775,-0.00020546477305931598,0.171826831759715,0.33685635676943804,-0.35303458943305105,0.6481641479959761,0.957317219315889,-0.39055532285263395,0.0637507129963216,-1.2015781764298799,-0.6411255700869979,-0.126872888472929,-0.282530887984799,-0.9103699588283319,0.149046367262821,0.34878320404174107,0.32232979745663204,-0.6710688833372049,0.00591269015550129,0.0282519259575611,45.3,0
7,256,-1.3772453289446398,0.7148225338569041,2.5075127656275096,0.8650824338242379,-0.29048918108121996,1.07732755530864,0.0325070830004539,0.510945608460285,0.7177883008377389,-0.256417813386399,0.31642371868401004,0.7595205081115172,-1.43942062882357,-0.592772796928674,-2.39714082455295,-1.07253894134126,0.615996407009881,-0.581450740274242,0.7149802569419059,-0.125335333183829,-0.341852730989935,-0.60673121039549,-0.0997404996993059,-0.00912305170037553,0.328379170435826,-0.5066833349623839,-0.032234737665486,0.13984072293207,13.53,0
8,273,1.12435494268587,-0.132953465351976,0.5884670299123679,0.8048714515145479,-0.7262659437997191,-0.521874881628226,-0.167009965314268,0.059297676183410995,0.368092890219291,-0.00193014865149842,1.01476547673829,0.596596494231207,-1.34644954416618,0.382686793200346,-0.791899770066658,-0.0862037354227697,-0.0757354131010236,-0.133082038369447,0.431187526273641,-0.139533219890882,-0.165165822769633,-0.44687146554856,0.0176168867576165,0.5488451562436111,0.34707876284371697,0.23994794868494299,-0.0385644961463231,0.00676473224320238,32.51,0
9,279,-0.365229401506496,1.10435215946778,1.2902167825030701,0.0703205963432935,0.0434320253454001,-0.985204069750695,0.7271437551719301,-0.0813098081975287,-0.4168114463945539,-0.5188979242899999,-0.187404606536978,-0.00477262986641824,0.258662055531264,-0.4554621905607121,0.879676194009773,0.37649889719344604,0.000668864946356443,-0.15304703159718802,-0.0935017004223238,0.14077912760858402,-0.25701078501082997,-0.679352340547189,0.00114648960531949,0.33729866006452897,-0.15268067325627302,0.0712084955984254,0.243796748054182,0.0994358037055086,8.99,0
